# Atomic ae- and pseudo- wavefunctions
#local 1 
#l=0 r_rec=1.80
0.3227516648E-03 0.9557848532E-02 0.6323438323E-04 -0.1078359592E+03 0.1826652686E-02
0.3258366217E-03 0.9640069929E-02 0.6383879652E-04 -0.1078342399E+03 0.1844112378E-02
0.3289473939E-03 0.9722884363E-02 0.6444826764E-04 -0.1078324983E+03 0.1861718176E-02
0.3320841975E-03 0.9806295916E-02 0.6506283890E-04 -0.1078307343E+03 0.1879471301E-02
0.3352472504E-03 0.9890308697E-02 0.6568255301E-04 -0.1078289475E+03 0.1897372987E-02
0.3384367722E-03 0.9974926837E-02 0.6630745297E-04 -0.1078271380E+03 0.1915424477E-02
0.3416529844E-03 0.1006015449E-01 0.6693758220E-04 -0.1078253055E+03 0.1933627025E-02
0.3448961103E-03 0.1014599584E-01 0.6757298446E-04 -0.1078234500E+03 0.1951981895E-02
0.3481663752E-03 0.1023245507E-01 0.6821370386E-04 -0.1078215711E+03 0.1970490361E-02
0.3514640062E-03 0.1031953643E-01 0.6885978490E-04 -0.1078196689E+03 0.1989153708E-02
0.3547892323E-03 0.1040724416E-01 0.6951127246E-04 -0.1078177432E+03 0.2007973234E-02
0.3581422843E-03 0.1049558254E-01 0.7016821177E-04 -0.1078157938E+03 0.2026950244E-02
0.3615233953E-03 0.1058455585E-01 0.7083064845E-04 -0.1078138206E+03 0.2046086056E-02
0.3649327998E-03 0.1067416843E-01 0.7149862851E-04 -0.1078118235E+03 0.2065382000E-02
0.3683707348E-03 0.1076442462E-01 0.7217219834E-04 -0.1078098023E+03 0.2084839415E-02
0.3718374390E-03 0.1085532878E-01 0.7285140470E-04 -0.1078077570E+03 0.2104459653E-02
0.3753331530E-03 0.1094688532E-01 0.7353629478E-04 -0.1078056874E+03 0.2124244076E-02
0.3788581197E-03 0.1103909865E-01 0.7422691613E-04 -0.1078035934E+03 0.2144194058E-02
0.3824125839E-03 0.1113197322E-01 0.7492331671E-04 -0.1078014749E+03 0.2164310985E-02
0.3859967924E-03 0.1122551348E-01 0.7562554488E-04 -0.1077993318E+03 0.2184596253E-02
