# Atomic ae- and pseudo- wavefunctions
#local 2
#l=0 r_rec=0.90
0.2724172982E-03 0.8943293307E-02 0.3593020681E-03 -0.5202050584E+02 0.1314252669E-02
0.2754947190E-03 0.9041740328E-02 0.3633610027E-03 -0.5202029762E+02 0.1329099408E-02
0.2785978921E-03 0.9140974465E-02 0.3674539032E-03 -0.5202007324E+02 0.1344070386E-02
0.2817270330E-03 0.9241001930E-02 0.3715810538E-03 -0.5201983258E+02 0.1359166644E-02
0.2848823591E-03 0.9341828984E-02 0.3757427410E-03 -0.5201957549E+02 0.1374389230E-02
0.2880640894E-03 0.9443461930E-02 0.3799392539E-03 -0.5201930187E+02 0.1389739201E-02
0.2912724449E-03 0.9545907121E-02 0.3841708839E-03 -0.5201901163E+02 0.1405217622E-02
0.2945076484E-03 0.9649170958E-02 0.3884379249E-03 -0.5201870470E+02 0.1420825570E-02
0.2977699246E-03 0.9753259887E-02 0.3927406732E-03 -0.5201838101E+02 0.1436564127E-02
0.3010595001E-03 0.9858180404E-02 0.3970794276E-03 -0.5201804052E+02 0.1452434387E-02
0.3043766031E-03 0.9963939052E-02 0.4014544894E-03 -0.5201768321E+02 0.1468437451E-02
0.3077214642E-03 0.1007054242E-01 0.4058661625E-03 -0.5201730906E+02 0.1484574432E-02
0.3110943157E-03 0.1017799716E-01 0.4103147532E-03 -0.5201691807E+02 0.1500846449E-02
0.3144953916E-03 0.1028630995E-01 0.4148005704E-03 -0.5201651025E+02 0.1517254633E-02
0.3179249283E-03 0.1039548754E-01 0.4193239257E-03 -0.5201608563E+02 0.1533800123E-02
0.3213831638E-03 0.1050553671E-01 0.4238851331E-03 -0.5201564425E+02 0.1550484068E-02
0.3248703384E-03 0.1061646430E-01 0.4284845095E-03 -0.5201518615E+02 0.1567307627E-02
0.3283866942E-03 0.1072827721E-01 0.4331223743E-03 -0.5201471138E+02 0.1584271969E-02
0.3319324754E-03 0.1084098237E-01 0.4377990495E-03 -0.5201422002E+02 0.1601378270E-02
0.3355079283E-03 0.1095458679E-01 0.4425148599E-03 -0.5201371215E+02 0.1618627720E-02
0.3391133011E-03 0.1106909749E-01 0.4472701330E-03 -0.5201318784E+02 0.1636021515E-02
0.3427488441E-03 0.1118452158E-01 0.4520651990E-03 -0.5201264719E+02 0.1653560865E-02
0.3464148100E-03 0.1130086621E-01 0.4569003910E-03 -0.5201209029E+02 0.1671246986E-02
0.3501114532E-03 0.1141813858E-01 0.4617760446E-03 -0.5201151725E+02 0.1689081108E-02
0.3538390305E-03 0.1153634593E-01 0.4666924985E-03 -0.5201092819E+02 0.1707064468E-02
0.3575978008E-03 0.1165549558E-01 0.4716500942E-03 -0.5201032321E+02 0.1725198316E-02
0.3613880249E-03 0.1177559489E-01 0.4766491759E-03 -0.5200970244E+02 0.1743483910E-02
0.3652099663E-03 0.1189665126E-01 0.4816900907E-03 -0.5200906600E+02 0.1761922521E-02
0.3690638903E-03 0.1201867218E-01 0.4867731888E-03 -0.5200841403E+02 0.1780515430E-02
